Date,Location,Total Killed,Militants Killed,Civilians Killed,Unknown Killed,Target Organization
"Wednesday, March 19, 2003",Mogadishu in Banaadir,,,,,Al-Qaeda
"Monday, September 1, 2014",near Barawe in Lower Shabelle,Between 6 and 6 total killed.,Between 6 and 6 militants killed.,,,Al-Shabaab
"Sunday, January 26, 2014",Hawai in Lower Shabelle,Between 5 and 5 total killed.,Between 5 and 5 militants killed.,,,Al-Shabaab
"Monday, October 28, 2013",Jilib in Middle Juba,Between 2 and 2 total killed.,Between 2 and 2 militants killed.,,,Al-Shabaab
"Friday, October 4, 2013",Barawe in Lower Shabelle,Between 5 and 5 total killed.,Between 5 and 5 militants killed.,,,Al-Shabaab
"Friday, February 24, 2012",K60 in Lower Shabelle,Between 4 and 4 total killed.,Between 4 and 4 militants killed.,,,Al-Shabaab
"Saturday, January 21, 2012",Elasha Biyaha in Banaadir,Between 1 and 1 total killed.,Between 1 and 1 militants killed.,,,Al-Shabaab
"Monday, November 14, 2011",Afgoye in Lower Shabelle,,,,,Al-Shabaab
"Friday, September 23, 2011",Kismayo in Lower Juba,,,,,Al-Shabaab
"Thursday, June 23, 2011",Kismayo in Lower Juba,Between 1 and 2 total killed.,Between 1 and 2 militants killed.,,,Al-Shabaab
"Wednesday, April 6, 2011",Dhobley in Gedo,Between 1 and 1 total killed.,Between 1 and 1 militants killed.,,,Al-Shabaab
"Monday, September 14, 2009",Barawe in Lower Shabelle,Between 6 and 9 total killed.,Between 6 and 9 militants killed.,,,Al-Shabaab
"Thursday, May 1, 2008",Dhuusamareeb in Central Regions,Between 8 and 30 total killed.,Between 8 and 11 militants killed.,,,Al-Shabaab
"Sunday, March 2, 2008",Dhobley in Gedo,Between 6 and 6 total killed.,,Between 6 and 6 civilians killed.,,Al-Qaeda
"Friday, June 1, 2007",Bargal in Puntland,Between 6 and 12 total killed.,Between 6 and 12 militants killed.,,,Al-Qaeda
"Tuesday, January 23, 2007",Waldena in Lower Juba,Between 8 and 8 total killed.,Between 8 and 8 militants killed.,,,Al-Qaeda
"Monday, January 8, 2007",Ras Kamboni in Lower Juba,Between 8 and 12 total killed.,Between 8 and 12 militants killed.,,,Al-Qaeda
"Monday, January 8, 2007",Hayi in Lower Juba,Between 22 and 31 total killed.,,Between 22 and 31 civilians killed.,,Al-Qaeda
"Sunday, January 7, 2007",Ras Kamboni in Lower Juba,Between 8 and 12 total killed.,Between 8 and 12 militants killed.,,,Al-Qaeda
"Wednesday, June 30, 2004",Mogadishu in Banaadir,,,,,Al-Qaeda
"Saturday, November 1, 2003",Coast of Somalia in Coast,,,,,Al-Qaeda
"Saturday, January 7, 2017",Gaduud in Gedo,,,,,Al-Shabaab
"Wednesday, September 28, 2016",Galkayo in Puntland,Between 10 and 10 total killed.,,,Between 10 and 10 unknown killed.,Al-Shabaab
"Monday, September 26, 2016",Kismayo in Lower Juba,Between 9 and 9 total killed.,Between 9 and 9 militants killed.,,,Al-Shabaab
"Monday, September 5, 2016",Tortorow in Lower Shabelle,Between 4 and 4 total killed.,Between 4 and 4 militants killed.,,,Al-Shabaab
"Tuesday, August 30, 2016",Gobanale in null,Between 2 and 2 total killed.,Between 2 and 2 militants killed.,,,Al-Shabaab
"Wednesday, August 10, 2016",Saakow in Middle Juba,Between 3 and 3 total killed.,Between 3 and 3 militants killed.,,,Al-Shabaab
"Friday, May 27, 2016",in Central Regions,Between 1 and 1 total killed.,Between 1 and 1 militants killed.,,,Al-Shabaab
"Thursday, May 12, 2016",in Lower Shabelle,Between 5 and 5 total killed.,Between 5 and 5 militants killed.,,,Al-Shabaab
"Thursday, May 12, 2016",West of Mogadishu in Banaadir,Between 5 and 5 total killed.,Between 5 and 5 militants killed.,,,Al-Shabaab
"Monday, April 11, 2016",Yontoy in Lower Juba,,,,,Al-Shabaab
"Monday, April 11, 2016",Yontoy in Lower Juba,Between 14 and 16 total killed.,Between 11 and 13 militants killed.,Between 3 and 3 civilians killed.,,Al-Shabaab
"Thursday, March 31, 2016",in Middle Juba,Between 3 and 3 total killed.,Between 3 and 3 militants killed.,,,Al-Shabaab
"Wednesday, March 9, 2016",Awdhegele in Central Regions,Between 1 and 15 total killed.,Between 1 and 15 militants killed.,,,Al-Shabaab
"Saturday, March 5, 2016",Raso in Central Regions,Between 150 and 150 total killed.,Between 150 and 150 militants killed.,,,Al-Shabaab
"Tuesday, December 22, 2015",Shanta-Ameriko in Lower Shabelle,Between 5 and 5 total killed.,Between 5 and 5 militants killed.,,,Al-Shabaab
"Wednesday, December 2, 2015",Kuunyo-Barrow in Lower Shabelle,Between 3 and 3 total killed.,Between 3 and 3 militants killed.,,,Al-Shabaab
"Thursday, July 16, 2015",Bardere in Gedo,Between 30 and 30 total killed.,Between 30 and 30 militants killed.,,,Al-Shabaab
"Thursday, March 12, 2015",Abaq Xaluul in Gedo,Between 1 and 1 total killed.,Between 1 and 1 militants killed.,,,Al-Shabaab
"Saturday, January 31, 2015",Dinsoor in Bay District,Between 2 and 2 total killed.,Between 2 and 2 militants killed.,,,Al-Shabaab
"Monday, December 29, 2014",Saakow in Middle Juba,Between 3 and 3 total killed.,Between 3 and 3 militants killed.,,,Al-Shabaab
