Date,Location,Total Killed,Militants Killed,Civilians Killed,Unknown Killed,Target Organization
"Monday, January 30, 2012",Lawdar in Abyan,Between 9 and 15 total killed.,Between 9 and 15 militants killed.,,,AQAP
"Friday, December 23, 2011",Zinjibar in Abyan,Between 1 and 1 total killed.,Between 1 and 1 militants killed.,,,AQAP
"Friday, October 14, 2011",Unknown in Shabwah,Between 16 and 33 total killed.,Between 7 and 9 militants killed.,,Between 9 and 24 unknown killed.,AQAP
"Wednesday, October 5, 2011",Zinjibar in Abyan,Between 5 and 5 total killed.,Between 5 and 5 militants killed.,,,AQAP
"Friday, September 30, 2011",Khashef in Al Jawf,Between 4 and 4 total killed.,Between 4 and 4 militants killed.,,,AQAP
"Wednesday, September 21, 2011",Shaqra in Abyan,Between 10 and 10 total killed.,Between 10 and 10 militants killed.,,,AQAP
"Wednesday, September 21, 2011",Al Mahfad in Abyan,Between 4 and 4 total killed.,Between 4 and 4 militants killed.,,,AQAP
"Thursday, September 1, 2011",Zinjibar in Abyan,Between 20 and 30 total killed.,Between 20 and 30 militants killed.,,,AQAP
"Monday, August 1, 2011",Zinjibar in Abyan,Between 15 and 15 total killed.,Between 15 and 15 militants killed.,,,AQAP
"Wednesday, July 27, 2011",Zinjibar in Abyan,Between 5 and 5 total killed.,Between 5 and 5 militants killed.,,,AQAP
"Thursday, July 14, 2011",Al Wadiya in Abyan,Between 6 and 6 total killed.,Between 6 and 6 militants killed.,,,AQAP
"Friday, June 3, 2011",Zinjibar in Abyan,Between 8 and 12 total killed.,Between 4 and 8 militants killed.,Between 4 and 4 civilians killed.,,AQAP
"Thursday, May 5, 2011",Jahwa in Shabwah,Between 2 and 2 total killed.,Between 2 and 2 militants killed.,,,AQAP
"Tuesday, May 25, 2010",Wadi Abida in Ma'rib,Between 6 and 8 total killed.,Between 2 and 2 militants killed.,Between 4 and 6 civilians killed.,,AQAP
"Thursday, December 24, 2009",Rafd in Shabwah,Between 30 and 30 total killed.,Between 30 and 30 militants killed.,,,AQAP
"Thursday, December 17, 2009",Al Ma'jalah in Abyan,Between 55 and 75 total killed.,Between 14 and 34 militants killed.,Between 41 and 41 civilians killed.,,AQAP
"Sunday, November 3, 2002",Marib in Ma'rib,Between 6 and 6 total killed.,Between 6 and 6 militants killed.,,,AQAP
"Monday, April 30, 2012",Zinjibar in Abyan,Between 3 and 13 total killed.,Between 3 and 13 militants killed.,,,AQAP
"Sunday, April 29, 2012",Unknown in Al Jawf,Between 3 and 3 total killed.,Between 3 and 3 militants killed.,,,AQAP
"Monday, April 23, 2012",Nasab in Shabwah,Between 3 and 3 total killed.,Between 3 and 3 militants killed.,,,Ansar al-Sharia
"Sunday, April 22, 2012",Sanda in Ma'rib,Between 3 and 4 total killed.,Between 3 and 4 militants killed.,,,AQAP
"Monday, April 16, 2012",Kharama in Shabwah,Between 5 and 6 total killed.,Between 5 and 6 militants killed.,,,Ansar al-Sharia
"Saturday, April 14, 2012",Unknown in Al Bayda',Between 3 and 7 total killed.,Between 3 and 7 militants killed.,,,Ansar al-Sharia
"Wednesday, April 11, 2012",Umm Ayn in Abyan,Between 5 and 5 total killed.,Between 5 and 5 militants killed.,,,Ansar al-Sharia
"Wednesday, April 11, 2012",Lawdar in Abyan,Between 10 and 12 total killed.,Between 10 and 12 militants killed.,,,Ansar al-Sharia
"Sunday, April 8, 2012",Al Kawd in Abyan,Between 16 and 16 total killed.,Between 16 and 16 militants killed.,,,AQAP
"Sunday, April 8, 2012",Unknown in Shabwah,Between 8 and 8 total killed.,Between 8 and 8 militants killed.,,,AQAP
"Saturday, April 7, 2012",Usalian in Shabwah,,,,,AQAP
"Sunday, April 1, 2012",Al Rahha in Lahij,Between 38 and 43 total killed.,Between 38 and 43 militants killed.,,,AQAP
"Friday, March 30, 2012",Azzan in Shabwah,Between 6 and 6 total killed.,Between 5 and 5 militants killed.,Between 1 and 1 civilians killed.,,AQAP
"Thursday, March 22, 2012",Zinjibar in Abyan,Between 29 and 30 total killed.,Between 29 and 30 militants killed.,,,AQAP
"Sunday, March 18, 2012",Jaar in Abyan,Between 8 and 18 total killed.,Between 8 and 18 militants killed.,,,AQAP
"Sunday, March 18, 2012",Zinjibar in Abyan,Between 16 and 16 total killed.,Between 16 and 16 militants killed.,,,AQAP
