Date,Leaders Killed,Description
"Thursday, March 2, 2017","Usayd al-Adnani, Qassem Khalil","AQAP emir in Abyan province (al-Adnani), Unspecified (Khalil)"
"Sunday, January 29, 2017","Abdul-Raouf al-Dhahab, Sultan al-Dhahab, and Seif al-Nims",
"Saturday, January 21, 2017",Abu Anis al-Abi,AQAP field commander
"Sunday, January 8, 2017",Abd al-Ghani al-Rasas,Senior AQAP leader and facilitator in al Bayda
"Thursday, December 29, 2016",Jalal al-Seydi,Emir of Loder
"Sunday, November 20, 2016",Al-Abi,Senior al-Qaeda leader
"Friday, September 23, 2016",Abu Khaled al-Sanaani,Local AQAP commander
"Thursday, September 22, 2016",Abdallah al-Sanaani,Regional AQAP commander
"Tuesday, September 20, 2016",Abu Yaqin Al Waeli,Local AQAP commander
"Tuesday, April 26, 2016","Abu Sameh al-Zinjibari, possibly two unnamed",
"Thursday, February 4, 2016","Jalal Baleedi, alias Abu Hamza","Top AQAP commander, who may have recently defected to become the leader of the Islamic State's Yemen affiliate, had a $5 million bounty on him offered by the U.S. State Department"
"Friday, June 12, 2015",Nasir al Wuhayshi,"AQAP Head, Al Qaeda Number Two"
"Wednesday, April 22, 2015","Muhannad Ghallab, Nasr Ibn Ali al-Ansi (unconfirmed)","AQAP Spokesman, Senior Commander"
"Monday, April 13, 2015",Ibrahim al-Rubeish,AQAP Spokesman
"Friday, August 30, 2013",Qaid Ahmad Nasser Al Dhahab,Local senior al-Qaeda leader
"Sunday, June 9, 2013",Saleh Hassan Huraydan,Senior al-Qaeda leader
"Monday, May 20, 2013",Abd Rabbo Mokbal Mohammed Jarallah al-Zouba; Abbad Mossad Abbad Khobzi,Local al-Qaeda operatives
"Wednesday, April 17, 2013",Hamid al Radmi,Alleged Local AQAP leader
"Monday, January 21, 2013",Ahmed al-Ziadi; Qasem Naser Tuaiman; Ali Saleh Tuaiman,Ziadi was a suspected AQAP leader in Marib; the Tuaimans were militants freed by Yemeni authorities in April 2012 after several months in prison
"Saturday, January 19, 2013",Ismaeel Bin Saeed Bin Jameel,Local al-Qaeda operative
"Thursday, January 3, 2013",Moqbel Ebad Al Zawbah,Senior al-Qaeda figure
"Saturday, December 29, 2012",Saleh Mohammed al Ameri,A prominent local fighter
"Friday, December 28, 2012",<p>Abdullah Bawazir</p>,Chief architect behind a 2011 mass prison break that freed dozens of fighters
"Monday, December 24, 2012",<p>Abdel-Raouf Naseeb</p>,Mid-level al-Qaeda operative
"Wednesday, November 28, 2012",<p>Said Shihri</p>,"AQAP's deputy leader and co founder one of the first inmates of the American prison at Guantánamo Bay, Cuba."
"Wednesday, November 7, 2012",Adnan al Qadhi,Wanted for 2008 bombing of U.S. Embassy in Sanaa
"Sunday, October 21, 2012",<p>Sanad Abdulla al-Aqili; Abdullah Oraidan</p>,Local al-Qaeda operatives
"Thursday, October 18, 2012",<p>Nader al-Shaddadi</p>,One of the top al-Qaeda leaders in the region
"Wednesday, September 5, 2012",Murad Ben Salem,Senior al-Qaeda member
"Friday, August 31, 2012",<p>Khaled Batis</p>,A top al Qaeda militant wanted for his role in the 2002 attack on the Limburg oil tanker
"Monday, August 6, 2012",<p>Abdullah Awad al-Masri</p>,al-Qaeda bomb maker
"Tuesday, July 3, 2012",<p>Fahd Saleh al-Anjaf al-Harithi; Hassan Ali al-Ishaqi</p>,Senior al-Qaeda figures
"Monday, May 28, 2012",<p>Qaid al-Dahab</p>,"Local al-Qaeda leader, brother-in-law to Anwar al-Awlaki"
"Thursday, May 10, 2012",<p>Kheldoon Al Sayed</p>,"The second man in Abyan after the Emir Al Khadir Hussein Al Jadani, according to the Yemen Observer"
"Thursday, May 10, 2012",<p>Jallad</p>,Militant in charge of armaments for AQAP
"Sunday, May 6, 2012",<p>Fahd al-Quso; Fahed Salem al-Akdam</p>,Senior al-Qaeda leaders; Quso was convicted for playing a role in bombing of USS Cole
"Sunday, April 22, 2012",<p>Mohammed Al-Umda</p>,"4th most-wanted terrorist in Yemen, convicted for participating in the 2002 Limburg oil tanker attack"
"Friday, March 30, 2012",Khadim Usamah,Doctor who pioneered surgically implanted explosives
"Tuesday, March 13, 2012",<p>Nasser al-Thafri</p>,Senior al-Qaeda operative
"Friday, March 9, 2012",Abdulwahhab al-Homaiqani,AQAP Commander
"Monday, January 30, 2012",<p>Abdel-Munem al-Fatahani</p>,Fatahani was linked to the bombing of the USS Cole and the 2002 Limburg oil tanker attack
"Friday, December 23, 2011",<p>Abdulrahman al-Wuhayshi</p>,Related to AQAP leader Nasser al-Wahishi
"Friday, September 30, 2011",<p>Anwar Al-Awlaki; Samir Khan</p>,Awlaki was AQAP's chief propagandist; Khan created AQAP's Inspire magazine
"Monday, August 1, 2011",<p>Naser al-Shadadi</p>,Senior al-Qaeda commander
"Thursday, July 14, 2011",<p>Hadi Mohammad Ali</p>,al-Qaeda member
"Friday, June 3, 2011",<p>Abu Ali al-Harithi </p>,Harithi was a mid-level al-Qaeda operative
"Thursday, May 5, 2011",<p>Musaed Mubarak Aldaghery; Abdullah Mubarak Aldaghery</p>,Both men were al-Qaeda operatives
"Tuesday, May 25, 2010",<p>Mohammed Saeed bin Jameel</p>,Al Qaeda Operative
"Thursday, December 24, 2009",<p>Mohammed Ahmed Saleh Omair</p>,Mid-level al-Qaeda commander
"Thursday, December 17, 2009",<p>Saleh al-Qazimi</p>,al-Qaeda commander
"Sunday, November 3, 2002",<p>Qaed Salim Sunian al-Harithi; Kamal Derwish</p>,Harithi was al-Qaeda's chief operative in Yemen and a suspect in the bombing of the USS Cole; Derwish was an al-Qaeda operative
