Date,Location,Province,TotalKilledMin,TotalKilledMax,MilitantsKilledMin,MilitantsKilledMax,CiviliansKilledMin,CiviliansKilledMax,UnknownKilledMin,UnknownKilledMax,Target,LeadersKilled,Description,NumLeadersKilled,SourceConfirmed
2002-11-03,Marib,Marib,6,6,6,6,NA,NA,NA,NA,AQAP,"Qaed Salim Sunian al-Harithi, Kamal Derwish",Harithi was al-Qaeda's chief operative in Yemen and a suspect in the bombing of the USS Cole; Derwish was an al-Qaeda operative,2.0,NAF
2009-12-17,Al Majalah,Abyan,55,75,14,34,41,41,NA,NA,AQAP,Saleh al-Qazimi,al-Qaeda commander,1.0,NAF
2009-12-24,Rafd,Shabwah,30,30,30,30,NA,NA,NA,NA,AQAP,Mohammed Ahmed Saleh Omair,Mid-level al-Qaeda commander,1.0,NAF
2010-05-25,Wadi Abida,Marib,6,8,2,2,4,6,NA,NA,AQAP,Mohammed Saeed bin Jameel,Al Qaeda Operative,1.0,NAF
2011-05-05,Jahwa,Shabwah,2,2,2,2,NA,NA,NA,NA,AQAP,"Musaed Mubarak Aldaghery, Abdullah Mubarak Aldaghery",Both men were al-Qaeda operatives,2.0,NAF
2011-06-03,Zinjibar,Abyan,8,12,4,8,4,4,NA,NA,AQAP,Abu Ali al-Harithi ,Harithi was a mid-level al-Qaeda operative,1.0,NAF
2011-07-14,Al Wadiya,Abyan,6,6,6,6,NA,NA,NA,NA,AQAP,Hadi Mohammad Ali,al-Qaeda member,1.0,NAF
2011-07-27,Zinjibar,Abyan,5,5,5,5,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2011-08-01,Zinjibar,Abyan,15,15,15,15,NA,NA,NA,NA,AQAP,Naser al-Shadadi,Senior al-Qaeda commander,1.0,NAF
2011-09-01,Zinjibar,Abyan,20,30,20,30,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2011-09-21,Shaqra,Abyan,10,10,10,10,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2011-09-21,Al Mahfad,Abyan,4,4,4,4,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2011-09-30,Khashef,Al Jawf,4,4,4,4,NA,NA,NA,NA,AQAP,"Anwar Al-Awlaki, Samir Khan",Awlaki was AQAP's chief propagandist; Khan created AQAP's Inspire magazine,2.0,NAF
2011-10-05,Zinjibar,Abyan,5,5,5,5,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2011-10-14,Unknown,Shabwah,16,33,7,9,NA,NA,9,24,AQAP,NA,NA,0.0,NAF
2011-12-23,Zinjibar,Abyan,1,1,1,1,NA,NA,NA,NA,AQAP,Abdulrahman al-Wuhayshi,Related to AQAP leader Nasser al-Wahishi,1.0,NAF
2012-01-30,Lawdar,Abyan,9,15,9,15,NA,NA,NA,NA,AQAP,Abdel-Munem al-Fatahani,Fatahani was linked to the bombing of the USS Cole and the 2002 Limburg oil tanker attack,1.0,NAF
2012-03-09,Jabra,Al Bayda,25,35,16,25,NA,NA,9,10,NA,Abdulwahhab al-Homaiqani,AQAP Commander,1.0,NAF
2012-03-10,Jaar,Abyan,20,40,20,40,NA,NA,NA,NA,Ansar al-Sharia,NA,NA,0.0,NAF
2012-03-11,Jaar,Abyan,3,6,3,6,NA,NA,NA,NA,Ansar al-Sharia,NA,NA,0.0,NAF
2012-03-13,NA,Al Bayda,4,4,4,4,NA,NA,NA,NA,AQAP,Nasser al-Thafri,Senior al-Qaeda operative,1.0,NAF
2012-03-18,Jaar,Abyan,8,18,8,18,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2012-03-18,Zinjibar,Abyan,16,16,16,16,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2012-03-22,Zinjibar,Abyan,29,30,29,30,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2012-03-30,Azzan,Shabwah,6,6,5,5,1,1,NA,NA,AQAP,Khadim Usamah,Doctor who pioneered surgically implanted explosives,1.0,NAF
2012-04-01,Al Rahha,Lahij,38,43,38,43,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2012-04-07,Usalian,Shabwah,NA,NA,NA,NA,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2012-04-08,Al Kawd,Abyan,16,16,16,16,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2012-04-08,Unknown,Shabwah,8,8,8,8,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2012-04-11,Umm Ayn,Abyan,5,5,5,5,NA,NA,NA,NA,Ansar al-Sharia,NA,NA,0.0,NAF
2012-04-11,Lawdar,Abyan,10,12,10,12,NA,NA,NA,NA,Ansar al-Sharia,NA,NA,0.0,NAF
2012-04-14,Unknown,Al Bayda,3,7,3,7,NA,NA,NA,NA,Ansar al-Sharia,NA,NA,0.0,NAF
2012-04-16,Kharama,Shabwah,5,6,5,6,NA,NA,NA,NA,Ansar al-Sharia,NA,NA,0.0,NAF
2012-04-22,Sanda,Marib,3,4,3,4,NA,NA,NA,NA,AQAP,Mohammed Al-Umda,"4th most-wanted terrorist in Yemen, convicted for participating in the 2002 Limburg oil tanker attack",1.0,NAF
2012-04-23,Nasab,Shabwah,3,3,3,3,NA,NA,NA,NA,Ansar al-Sharia,NA,NA,0.0,NAF
2012-04-29,Unknown,Al Jawf,3,3,3,3,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2012-04-30,Zinjibar,Abyan,3,13,3,13,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2012-05-02,Jaar,Abyan,13,15,13,15,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
