Date,Village.local.area,District,Province,AttackType,DroneStrike,ConfirmedUSAttack,US.only.source.,Counter..terrorism..force.protection.or.strategic.effects.,Reported.target.group.,Time,Reported.target.type,StrikesMin,StrikesMax,TotalKilledMin,TotalKilledMax,CiviliansKilledMin,CiviliansKilledMax,ChildrenKilledMin,ChildrenKilledMax,TotalInjuredMin,TotalInjuredMax
2015-01-01,Unknown,Spera,Khost,US strike,0,1,1,FP,NA,NA,NA,1,1,0,0,0,0,0,0,0,0
2015-01-03,Unknown,Gayan,Paktika,US strike,0,0,0,NA,NA,Early morning/late evening,Convoy,1,1,18,18,0,0,0,0,0,0
2015-01-03,Unknown,Spera,Khost,US strike,0,1,0,FP,Haqqani,Early morning,Convoy,1,1,7,7,0,0,0,0,0,0
2015-01-06,Unknown,Dara I Pech,Kunar,US strike,0,1,1,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0
2015-01-07,Unknown,Unknown,Logar,US strike,1,0,0,NA,NA,NA,NA,1,1,3,3,0,0,0,0,0,0
2015-01-08,Chikanawr,Lal Pura,Nangarhar,US strike,1,0,0,NA,Insurgents,Late at night,Compound,1,1,6,6,0,0,0,0,3,3
2015-01-11,Chikanawr,Lal Pura,Nangarhar,US strike,1,0,0,NA,Taliban,Morning,NA,1,1,8,8,0,0,0,0,3,3
2015-01-16,Unknown,Nazyan,Nangarhar,US strike,1,0,1,NA,NA,NA,NA,1,1,3,3,0,0,0,0,0,0
2015-01-17,Unknown,Lal Pura,Nangarhar,US strike,0,1,1,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0
2015-01-19,Unknown,Khugyani,Nangarhar,US strike,0,1,1,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0
2015-02-08,Azankarez,Kajak,Helmand,US strike,1,1,0,FP,ISIS,NA,NA,1,1,6,8,0,0,0,0,0,0
2015-02-10,Unknown,Khas Kunar,Kunar,US strike,1,1,0,FP,Taliban - Khorasan Group / ISIS,NA,"
-",1,1,2,2,0,0,0,0,0,0
2015-02-11,Unknown,Nazyan,Nangarhar,US strike,0,1,0,FP,TTP,NA,Compound,1,1,2,9,0,0,0,0,0,0
2015-02-18,Fathi Khani,Khogyani,Nangarhar,US strike,1,0,0,NA,Taliban,Afternoon,NA,1,1,8,8,0,0,0,0,0,0
2015-03-02,Unknown,Alishir,Khost,US strike,1,0,0,NA,NA,Unknown,NA,1,1,1,1,0,1,0,0,0,0
2015-03-10,Mamond,Achin,Nangarhar,US strike,0,1,0,FP,Taliban,NA,Corolla vehicle,1,1,6,6,0,0,0,0,0,0
2015-03-11,Unknown,Sarakani,Kunar,US strike,0,1,1,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0
2015-03-13,Unknown,Lal Pura,Nangarhar,US strike,1,1,0,FP,Taliban,NA,NA,1,1,0,0,0,0,0,0,0,0
2015-03-18,Unknown,Chinar Khor,Kunar,US strike,0,1,1,NA,NA,NA,NA,1,1,0,0,0,0,0,0,1,1
2015-03-23,Unknown,Nazyan,Nangarhar,US strike,1,1,0,FP,"Lashkar e Islam, TTP and Abdullah Azam Brigade",NA,Hideout,1,1,9,13,0,0,0,0,0,0
2015-03-24,Unknown,Unknown,Kunar,US strike,1,0,0,NA,TTP,NA,NA,1,1,11,11,0,0,0,0,0,0
2015-03-25,Unknown,Sia Gird,Parwan,US strike,0,1,1,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0
2015-03-26,Unknown,Zurmat,Paktia,US strike,0,1,1,NA,NA,NA,NA,1,1,0,0,0,0,0,0,1,1
2015-04-12,Unknown,Dara I Pech,Kunar,US strike,1,1,0,FP,Taliban,5.30am,Hideouts,1,1,3,3,0,0,0,0,0,0
2015-04-28,Degal,Chapa Darre,Kunar,US strike,1,1,0,FP,Taliban,NA,NA,1,1,3,3,0,0,0,0,0,0
2015-05-03,Unknown,Mohmand Dara,Nangarhar,US strike,1,1,0,FP,Taliban,1700,Convoy,1,1,12,12,0,0,0,0,0,0
2015-05-04,"Dabili, Landi Basawal area",Mohmand Dara,Nangarhar,US strike,1,1,0,FP,Taliban,Night,Hideout,1,1,17,17,0,0,0,0,0,0
2015-05-07,Unknown,Khas Khar,Kunar,US strike,1,0,0,NA,Insurgents,NA,Vehicle,1,1,6,7,0,1,0,1,0,0
2015-05-07,Unknown,Goshti,Nangarhar,US strike,1,1,0,FP,"""Rebels""",Late,Vehicle,1,1,4,4,0,0,0,0,0,0
2015-05-09,Machi Megi,Lal Pura,Nangarhar,US strike,1,1,0,FP,Taliban,NA,Hideout,1,1,13,13,0,0,0,0,0,0
2015-05-14,Unknown,"Bati Kot
",Nangarhar,US strike,1,1,0,Possible CT,Taliban,Night,Vehicle,1,1,4,4,0,0,0,0,1,1
2015-05-15,"Various: Chahardahi in Bati Kot, Bandar Darah in Dur Baba, Murdai in Achin","Various: Nazyan, Bati Kot, Bandar Darah, Dur Baba, Achin",Nangarhar,US strike,1,1,0,FP,Taliban,Night,Vehicles and at least one hideout,4,4,5,41,0,0,0,0,0,0
2015-05-21,Katar village,Watapor,Kunar,US strike,1,1,0,FP,Taliban,"Evening
",NA,1,1,4,5,0,0,0,0,0,0
2015-05-27,Unknown,Want Waigal,Nuristan,US strike,1,1,0,FP,Taliban,NA,NA,1,1,5,5,0,0,0,0,0,0
2015-05-28,Unknown,Watapor,Kunar,US strike,1,1,0,FP,Taliban,NA,NA,1,1,1,1,0,0,0,0,0,0
2015-05-31,Unknown,Baraki Barak,Logar,US strike,0,1,0,NA,NA,NA,NA,1,1,2,3,0,3,0,2,0,0
2015-06-03,Shogam area,Shigal,Kunar,US strike,1,1,0,FP,"-
",Night,Hideout,1,1,3,6,0,0,0,0,0,0
2015-06-04,Unknown,Achin,Nangarhar,US strike,1,1,0,FP,Taliban,1830,Hideout,1,1,1,1,0,0,0,0,0,0
2015-06-04,Unknown,Chapahar,Nangarhar,US strike,1,1,0,FP,Taliban,Late,Vehicle,1,1,6,6,0,1,0,0,0,0
2015-06-04,Unknown,Chapahar,Nangarhar,US strike,1,0,0,NA,Taliban,Late,Two vehicles,1,1,11,11,0,0,0,0,0,0
2015-06-05,Ali Shir,Tere Zayi,Khost,US strike,1,1,0,CT,Taliban,NA,Two vehicles,1,1,14,14,14,14,0,0,0,0
2015-06-07,Unknown,Chapa Dara,Kunar,US strike,1,1,0,FP,Taliban,Evening,Hideout,1,1,1,1,0,0,0,0,0,0
2015-06-08,Samso,Lal Pura,Nangarhar,US strike,1,1,0,FP,Taliban / ISIS,NA,Hideout,1,1,7,7,0,5,0,5,0,0
2015-06-08,Unknown,Lal Pura,Nangarhar,US strike,1,0,0,NA,Insurgents,NA,Vehicle,1,1,3,3,0,0,0,0,0,0
