attack_id,location_names,campaign_name,verified_attack_type,attack_date,number_killed,number_wounded
322487549,Pakistan,"Al Qaeda vs. U.S. & Allies","Confirmed Suicide",2002-05-08,15,21
1784389733,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2002-06-14,12,51
311019713,Yemen,"Al Qaeda vs. U.S. & Allies","Confirmed Suicide",2002-10-06,1,0
-692925247,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2002-12-19,1,3
-63522821,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2003-06-07,5,31
632242528,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2003-07-04,50,50
1846902186,Pakistan,"Isolated Attacks","Confirmed Suicide",2003-07-28,0,5
572459176,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2003-12-25,20,52
320694802,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2003-12-28,4,0
-876220583,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2004-01-27,2,0
1167820814,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2004-02-28,0,3
1220019825,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2004-03-02,48,151
-169332703,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2004-05-07,20,100
276868157,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2004-05-31,20,50
-793941231,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2004-07-30,8,48
1220367535,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2004-10-01,31,50
-1705544754,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2004-10-10,9,20
-1840711868,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2004-10-23,2,8
1220372933,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2004-10-23,2,7
1220727097,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2005-01-20,0,23
19323007,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2005-05-27,19,79
-2017491333,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2005-05-30,3,30
1220885426,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2005-06-01,20,45
1029378352,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2005-06-13,8,4
-1493166451,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2005-07-19,0,0
32722505,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2005-09-07,1,4
-204555889,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2005-09-14,0,4
1067792744,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2005-09-28,9,28
-795622753,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2005-10-05,1,4
73139685,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2005-10-09,0,4
-1775173778,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2005-10-10,3,8
621135680,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2005-10-10,0,0
-101563202,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2005-11-07,0,0
-1591739480,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2005-11-14,2,7
757550377,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2005-11-14,2,7
-1090159745,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2005-11-16,3,4
-409004638,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2005-11-19,0,0
-549130441,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2005-12-04,1,3
2064147517,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2005-12-11,0,0
-2024719847,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2005-12-14,0,0
688321007,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2005-12-16,0,3
