Date,Leaders Killed,Description
"Friday, May 27, 2016",Abdullahi Haji Da'ud,"Al-Shabaab senior military commander; principal coordinator of al-Shabaab's militia attacks in Somalia, Kenya, and Uganda; head of the Amniyat, al-Shabaab's Security and Intelligence Branch."
"Thursday, March 31, 2016",Hassan Ali Dhoore,Dhoore helped facilitate a deadly Christmas Day 2014 attack at the airport and a March 2015 attack at the Maka al-Mukarramah hotel.
"Tuesday, December 22, 2015",Ahmed Omar aka Abu Ubaidah(UNCONFIMED),Senior Al-Shabaab Commander
"Wednesday, December 2, 2015",Abdirahman Sandhere,Senior Fighter-Al-Shabaab
"Thursday, July 16, 2015",Jama Dere and Ismael Jabhad,Deputy commander for Lower Juba and senior military commander
"Thursday, March 12, 2015",Adan Garar,Top al-Shabaab leader
"Saturday, January 31, 2015",Yusef Dheeq,Head of external operations
"Monday, December 29, 2014",Tahlil Abdishakur,Intelligence chief
"Monday, September 1, 2014",Ahmed Abdi Godane,Co-founder of Al-Shabaab
"Sunday, January 26, 2014",Ahmed Mohammed Amey,Commander
"Monday, October 28, 2013",Ibrahim Ali Abdi,Top explosives expert
"Friday, October 4, 2013",Abdukadir Mohamed Abdukadir,Unclear
"Friday, February 24, 2012","Mohamed Sakr, Abu Ibrahim, and Akram",N/A
"Saturday, January 21, 2012",Bilal al-Berjawi,Commander
"Monday, November 14, 2011",N/A,N/A
"Friday, September 23, 2011",N/A,N/A
"Thursday, June 23, 2011",Jabreel Malik Muhammed,Senior member
"Wednesday, April 6, 2011",Hassan Abdurrahman Gumarey,Commander
"Monday, September 14, 2009",Saleh Ali Saleh Nabhan,Cell leader in Kenya
"Thursday, May 1, 2008",Aden Hashi Ayro and Sheikh Muhidin Mohamud Omar,Top Al Shabaab Commander; leader
"Sunday, March 2, 2008",N/A,N/A
"Friday, June 1, 2007",N/A,N/A
"Tuesday, January 23, 2007",N/A,N/A
"Monday, January 8, 2007",N/A,N/A
"Monday, January 8, 2007",N/A,N/A
"Sunday, January 7, 2007",N/A,N/A
"Wednesday, June 30, 2004",N/A,N/A
"Saturday, November 1, 2003",N/A,N/A
"Wednesday, March 19, 2003",N/A,N/A
