Date,Location,Province,TotalKilledMin,TotalKilledMax,CiviliansKilledMin,CiviliansKilledMax,SourceConfirmed
2002-11-03,Marib,Marib,6,6,NA,NA,NAF
2009-12-17,Al Majalah,Abyan,55,75,41,41,NAF
2009-12-24,Rafd,Shabwah,30,30,NA,NA,NAF
2010-05-25,Wadi Abida,Marib,6,8,4,6,NAF
2011-05-05,Jahwa,Shabwah,2,2,NA,NA,NAF
2011-06-03,Zinjibar,Abyan,8,12,4,4,NAF
2011-07-14,Al Wadiya,Abyan,6,6,NA,NA,NAF
2011-07-27,Zinjibar,Abyan,5,5,NA,NA,NAF
2011-08-01,Zinjibar,Abyan,15,15,NA,NA,NAF
2011-09-01,Zinjibar,Abyan,20,30,NA,NA,NAF
2011-09-21,Shaqra,Abyan,10,10,NA,NA,NAF
2011-09-21,Al Mahfad,Abyan,4,4,NA,NA,NAF
2011-09-30,Khashef,Al Jawf,4,4,NA,NA,NAF
2011-10-05,Zinjibar,Abyan,5,5,NA,NA,NAF
2011-10-14,Unknown,Shabwah,16,33,NA,NA,NAF
2011-12-23,Zinjibar,Abyan,1,1,NA,NA,NAF
2012-01-30,Lawdar,Abyan,9,15,NA,NA,NAF
2012-03-09,Jabra,Al Bayda,25,35,NA,NA,NAF
2012-03-10,Jaar,Abyan,20,40,NA,NA,NAF
2012-03-11,Jaar,Abyan,3,6,NA,NA,NAF
2012-03-13,NA,Al Bayda,4,4,NA,NA,NAF
2012-03-18,Jaar,Abyan,8,18,NA,NA,NAF
2012-03-18,Zinjibar,Abyan,16,16,NA,NA,NAF
2012-03-22,Zinjibar,Abyan,29,30,NA,NA,NAF
2012-03-30,Azzan,Shabwah,6,6,1,1,NAF
2012-04-01,Al Rahha,Lahij,38,43,NA,NA,NAF
2012-04-07,Usalian,Shabwah,NA,NA,NA,NA,NAF
2012-04-08,Al Kawd,Abyan,16,16,NA,NA,NAF
2012-04-08,Unknown,Shabwah,8,8,NA,NA,NAF
2012-04-11,Umm Ayn,Abyan,5,5,NA,NA,NAF
2012-04-11,Lawdar,Abyan,10,12,NA,NA,NAF
2012-04-14,Unknown,Al Bayda,3,7,NA,NA,NAF
2012-04-16,Kharama,Shabwah,5,6,NA,NA,NAF
2012-04-22,Sanda,Marib,3,4,NA,NA,NAF
2012-04-23,Nasab,Shabwah,3,3,NA,NA,NAF
2012-04-29,Unknown,Al Jawf,3,3,NA,NA,NAF
2012-04-30,Zinjibar,Abyan,3,13,NA,NA,NAF
2012-05-02,Jaar,Abyan,13,15,NA,NA,NAF
2012-05-06,Rafd,Shabwah,2,2,NA,NA,NAF
2012-05-10,Jaar,Abyan,8,8,NA,NA,NAF
2012-05-10,Jaar,Abyan,8,8,NA,NA,NAF
2012-05-10,Zinjibar,Abyan,2,4,NA,NA,NAF
2012-05-10,Zinjibar,Abyan,2,4,NA,NA,NAF
2012-05-12,Unknown,Shabwah,6,7,NA,NA,NAF
2012-05-12,Unknown,Marib,4,10,NA,NA,NAF
2012-05-15,Jaar,Abyan,11,33,NA,NA,NAF
2012-05-17,Seiyoun,Hadramawt,3,3,1,1,NAF
2012-05-19,Unknown,Al Bayda,2,2,NA,NA,NAF
2012-05-28,Al Mukalla,Hadramawt,6,7,NA,NA,NAF
2012-05-28,Radaa,Al Bayda,5,5,NA,NA,NAF
2012-06-01,Al Mahfad,Abyan,11,12,NA,NA,NAF
2012-06-13,Azzan,Shabwah,27,30,NA,NA,NAF
2012-06-13,Azzan,Shabwah,9,9,NA,NA,NAF
2012-06-25,Aden,Adan,3,3,NA,NA,NAF
2012-07-03,Bayhan,Shabwah,2,5,NA,NA,NAF
2012-08-04,Al Qatn,Hadramawt,3,5,NA,NA,NAF
2012-08-06,Radaa,Al Bayda,7,7,NA,NA,NAF
2012-08-07,Zoukaika,Hadramawt,2,3,NA,NA,NAF
2012-08-28,Unknown,Hadramawt,2,2,NA,NA,NAF
2012-08-29,Al Qatn,Hadramawt,5,5,2,2,NAF
2012-08-31,Hawra,Hadramawt,5,8,NA,NA,NAF
2012-09-02,Radaa,Al Bayda,12,12,12,12,NAF
