Date,Location,Province,AttackType,ConfirmedUSAttack,DroneStrike,StrikesMin,StrikesMax,TotalKilledMin,TotalKilledMax,CiviliansKilledMin,CiviliansKilledMax,ChildrenKilledMin,ChildrenKilledMax,TotalInjuredMin,TotalInjuredMax,SourceConfirmed
2002-11-03,Unknown,Marib,Drone strike,Confirmed,1,1,1,6,6,0,0,0,0,0,0,TBIJ (All)
2009-12-17,Al Majala,Abyan,Cruise missile strike,Confirmed,0,1,1,55,58,44,44,21,22,9,9,TBIJ (All)
2009-12-17,Arhab,Sanaa,"US-Yemen ground operation
Possible drone strike",Confirmed,0,1,1,0,0,0,0,0,0,0,0,TBIJ (All)
2009-12-24,Rafd,Shabwa,"Airstrike
Possible cruise missile strike",Confirmed,0,1,1,30,34,0,0,0,0,0,0,TBIJ (All)
2010-01-12,Unknown,Shabwa,"Yemen ground operation
Possible US assistance",Possible,0,1,1,1,2,0,0,0,0,0,0,TBIJ (All)
2010-01-15,Al Ajashir,Saada,Airstrike,Possible,0,1,1,0,6,0,0,0,0,0,0,TBIJ (All)
2010-01-20,Erq al Shawan,Marib,Airstrike,Possible,0,4,4,2,2,0,0,0,0,0,0,TBIJ (All)
2010-01-31,N/A,Across Yemen,US ground operations,Possible,0,24,24,0,0,0,0,0,0,0,0,TBIJ (All)
2010-03-14,"Jeezat al Qotn
Moudia district",Abyan,Airstrike,Confirmed,0,1,1,2,3,0,0,0,0,0,0,TBIJ (All)
2010-03-15,Moudia,Abyan,Airstrike,Possible,0,1,1,7,20,0,20,0,0,0,0,TBIJ (All)
2010-05-24,Unknown,Marib,Airstrike,Confirmed,0,1,1,3,4,3,4,0,0,2,3,TBIJ (All)
2011-05-05,Unknown,Shabwa,"Drone strike
Airstrike with US conventional aircraft",Confirmed,1,1,1,2,2,0,0,0,0,0,0,TBIJ (All)
2011-06-03,Zinjibar,Abyan,Drone strike,Confirmed,1,1,1,7,7,4,4,0,0,0,0,TBIJ (All)
2011-06-10,Zinjibar,Abyan,"Airstrike
Possible drone strike",Possible,1,1,1,1,1,0,0,0,0,0,0,TBIJ (All)
2011-06-10,Raia,Abyan,"Airstrike
Possible drone strike",Possible,1,1,3,2,3,2,3,1,1,0,1,TBIJ (All)
2011-06-18,Jaar,Abyan,"Airstrike
Possible drone strike",Possible,1,1,1,0,0,0,0,0,0,6,6,TBIJ (All)
2011-07-14,"Wadeea district
Mudiya",Abyan,Drone strike,Confirmed,1,1,1,6,50,30,30,0,0,0,0,TBIJ (All)
2011-07-14,Unknown,Abyan,Drone strike,Possible,1,1,1,0,0,0,0,0,0,0,0,TBIJ (All)
2011-07-27,"Karadeef
Zinjibar",Abyan,"Airstrike
Possible drone strike",Possible,1,1,1,5,5,0,0,0,0,0,0,TBIJ (All)
2011-08-01,Al Khamila,Abyan,"Drone strike
Possible Yemen Air Force airstrike",Confirmed,1,2,4,13,16,0,0,0,0,12,17,TBIJ (All)
2011-08-24,Zinjibar,Abyan,Airstrike,Possible,0,1,1,30,30,0,0,0,0,40,40,TBIJ (All)
2011-08-24,Arkoub,Abyan,"Airstrike
Possible drone strike",Possible,1,1,1,6,6,0,0,0,0,0,0,TBIJ (All)
2011-08-25,Wadi Hassan,Abyan,Airstrike,Possible,0,1,1,8,8,0,0,0,0,3,3,TBIJ (All)
2011-08-31,Unknown,Abyan,Airstrike,Confirmed,0,2,2,30,30,0,0,0,0,0,0,TBIJ (All)
2011-09-05,Jaar,Abyan,Airstrike,Possible,0,1,1,3,7,3,7,0,0,4,4,TBIJ (All)
2011-09-05,Jaar,Abyan,Airstrike,Possible,0,2,2,9,11,1,1,1,1,2,2,TBIJ (All)
2011-09-07,Mahfed,Abyan,Drone strike,Confirmed,1,2,3,3,10,0,0,0,0,2,24,TBIJ (All)
2011-09-21,Mahfed,Abyan,Drone strike,Confirmed,1,1,1,4,4,0,0,0,0,0,0,TBIJ (All)
2011-09-21,Shaqra,Abyan,Airstrike,Possible,0,1,1,6,7,0,0,0,0,3,3,TBIJ (All)
2011-09-30,Unknown,Jawf,Drone strike,Confirmed,1,1,1,4,4,0,0,0,0,0,0,TBIJ (All)
2011-10-05,Al Arqoub,Abyan,"Airstrike
Possible drone strike",Possible,1,1,1,5,5,0,0,0,0,7,7,TBIJ (All)
2011-10-14,Azzan,Shabwa,Drone strike,Confirmed,1,1,1,0,0,0,0,0,0,0,0,TBIJ (All)
2011-10-14,Azzan,Shabwa,Drone strike,Confirmed,1,1,1,7,9,2,2,2,2,0,0,TBIJ (All)
2011-10-14,Unknown,Southern Yemen,"Airstrike
Possible drone strike",Possible,1,1,1,15,17,0,0,0,0,0,0,TBIJ (All)
2011-10-14,Azzan,Shabwa,"Airstrike
Possible drone strike",Possible,1,1,1,2,2,1,2,1,1,0,0,TBIJ (All)
2011-12-22,Zinjibar,Abyan,"Airstrike
Possible drone strike",Possible,1,1,1,1,1,0,0,0,0,0,0,TBIJ (All)
2012-01-31,Lawder,Abyan,Drone strike,Confirmed,1,1,1,10,14,0,0,0,0,0,0,TBIJ (All)
2012-01-31,Unknown,Abyan,Airstrike,Confirmed,0,3,3,0,0,0,0,0,0,0,0,TBIJ (All)
2012-03-09,Unknown,Bayda,Drone strike,Confirmed,1,1,1,23,34,2,2,0,0,0,55,TBIJ (All)
2012-03-10,Jaar and Zinjibar,Abyan,Drone strike,Confirmed,1,2,2,24,24,0,0,0,0,0,0,TBIJ (All)
2012-03-11,"Jebel Khanfar
Near Jaar",Abyan,Drone strike,Confirmed,1,1,1,3,6,0,0,0,0,0,0,TBIJ (All)
2012-03-13,Unknown,Bayda,Drone strike,Confirmed,1,1,7,4,5,0,0,0,0,0,0,TBIJ (All)
